,SeasonID,TeamID,TeamCity,TeamName,PlayoffRankLag1,WinPCTLag1,DiffPointsPGLag1,PlayoffRankLag2,WinPCTLag2,DiffPointsPGLag2,PlayoffRankLag3,WinPCTLag3,DiffPointsPGLag3,isPlayoff
13,22019,1610612751,Brooklyn,Nets,6.0,0.512,-0.1,12.0,0.341,-3.7,15.0,0.244,-6.7,1
14,22019,1610612753,Orlando,Magic,7.0,0.512,0.7,14.0,0.305,-4.8,13.0,0.354,-6.6,1
17,22019,1610612764,Washington,Wizards,11.0,0.39,-2.9,8.0,0.524,0.6,4.0,0.598,1.8,0
19,22019,1610612766,Charlotte,Hornets,9.0,0.476,-1.1,10.0,0.439,0.3,11.0,0.439,0.2,0
20,22019,1610612741,Chicago,Bulls,13.0,0.268,-8.4,13.0,0.329,-7.0,8.0,0.5,0.4,0
22,22019,1610612752,New York,Knicks,15.0,0.207,-9.2,11.0,0.354,-3.6,12.0,0.378,-3.7,0
25,22019,1610612765,Detroit,Pistons,8.0,0.5,-0.2,9.0,0.476,-0.1,10.0,0.451,-1.1,0
26,22019,1610612737,Atlanta,Hawks,12.0,0.354,-6.0,15.0,0.293,-5.5,5.0,0.524,-0.9,0
28,22019,1610612739,Cleveland,Cavaliers,14.0,0.232,-9.6,4.0,0.61,0.9,2.0,0.622,3.2,0
1,22020,1610612755,Philadelphia,76ers,6.0,0.589,2.4,3.0,0.622,2.7,3.0,0.634,4.5,1
3,22020,1610612751,Brooklyn,Nets,7.0,0.486,-0.6,6.0,0.512,-0.1,12.0,0.341,-3.7,1
5,22020,1610612749,Milwaukee,Bucks,1.0,0.767,10.1,1.0,0.732,8.9,7.0,0.537,-0.3,1
6,22020,1610612752,New York,Knicks,12.0,0.318,-6.5,15.0,0.207,-9.2,11.0,0.354,-3.6,1
8,22020,1610612737,Atlanta,Hawks,14.0,0.299,-8.0,12.0,0.354,-6.0,15.0,0.293,-5.5,1
10,22020,1610612748,Miami,Heat,5.0,0.603,2.9,10.0,0.476,-0.2,6.0,0.537,0.5,1
13,22020,1610612738,Boston,Celtics,3.0,0.667,6.3,4.0,0.598,4.4,2.0,0.671,3.6,1
